n,z,protonSeparationEnergy(keV)
1,1,2224.5662
1,2,5493.4751
2,2,19813.8661
3,2,20678.8661
4,2,22589.323
5,2,23091.5681
6,2,24814
1,3,-3102.9999
2,3,-1964.9999
3,3,4433.3246
4,3,9973.9616
5,3,12416.2941
6,3,13943.7489
7,3,15172.1698
8,3,15757.8592
1,4,-4527
2,4,592.8241
3,4,5606.8539
4,4,17254.404
5,4,16886.3247
6,4,19636.3895
7,4,20164.4299
8,4,22939.4682
9,4,22639.4682
10,4,24315.3634
1,5,-2892
2,5,-2012.5479
3,5,136.3997
4,5,-185.8431
5,5,6586.8113
6,5,11228.7495
7,5,14096.742
8,5,15804.7845
9,5,17284.3647
10,5,18286.0941
11,5,20003.0929
12,5,21019.788
2,6,-98.7453
3,6,1299.5688
4,6,4006.784
5,6,8690.1847
6,6,15956.6792
7,6,17533.3596
8,6,20831.0258
9,6,21079.5118
10,6,22552.2174
11,6,23368.7903
12,6,26086.0271
13,6,26667.8564
14,6,29555.6549
15,6,31047
16,6,32060.6549
3,7,-2600.0851
4,7,-1377.9999
5,7,600.3
6,7,1943.49
7,7,7550.5636
8,7,10207.4263
9,7,11478.209
10,7,13113.0255
11,7,15207.6831
12,7,16351.9817
13,7,17936.2277
14,7,19560.6224
15,7,21167
16,7,24179.745
17,7,24522
3,8,-1649.9147
4,8,-358.7199
5,8,1511.6075
6,8,4626.671
7,8,7296.7657
8,8,12127.4113
9,8,13781.6425
10,8,15941.8662
11,8,17069.2807
12,8,19349.0544
13,8,20993.4351
14,8,23237.8544
15,8,24432.405
16,8,25508.9957
17,8,26898
18,8,28611
4,9,-2728
5,9,-1559.9999
6,9,-1269.9999
7,9,-530.5885
8,9,600.2676
9,9,5607.0944
10,9,7993.5998
11,9,10639.2921
12,9,11132.748
13,9,12557.629
14,9,13286.7398
15,9,14365.8258
16,9,14455.2086
17,9,15943.3462
18,9,16816.5337
19,9,18555
20,9,19219
5,10,-961.9999
6,10,-131.0518
7,10,1463.7009
8,10,3923.055
9,10,6410.03
10,10,12843.4581
11,10,13003.2842
12,10,15266.0816
13,10,15236.3919
14,10,16525.8769
15,10,16868.9899
16,10,18142.0243
17,10,18912.7161
18,10,21122.7109
19,10,22292.9641
20,10,24159.0415
21,10,25068
22,10,27133
6,11,-3443.8336
7,11,-1248.5688
8,11,-322.7961
9,11,2190.5361
10,11,2431.8963
11,11,6738.5862
12,11,8794.1088
13,11,10552.8268
14,11,10695.1423
15,11,12114.2485
16,11,13287.8752
17,11,15328.1963
18,11,15908.7153
19,11,17214.1043
20,11,18323.0595
21,11,19830.4134
22,11,20508
23,11,21739
24,11,22299
7,12,488.5689
8,12,2740.6616
9,12,3235.6089
10,12,5504.1
11,12,7581.2541
12,12,11692.6957
13,12,12063.8523
14,12,14145.701
15,12,15014.7848
16,12,16791.1261
17,12,16913.0158
18,12,18850.3374
19,12,18885.7927
20,12,20363.9032
21,12,20966.2497
22,12,22745.7599
23,12,23329.2995
24,12,24740
25,12,24980
26,12,26349
27,12,26419
28,12,27716
8,13,-2323
9,13,-9
10,13,140.9136
11,13,1864.1087
12,13,2271.3669
13,13,6306.3285
14,13,8271.2911
15,13,9553.0964
16,13,10476.7878
17,13,12540.7276
18,13,13358.3073
19,13,15266.1876
20,13,14957.4524
21,13,15249.4627
22,13,15836.0248
23,13,16978.3727
24,13,17859.5661
25,13,19031
26,13,19873
27,13,21244
28,13,22249
29,13,23399
8,14,739
9,14,1541
10,14,3291.8566
11,14,3412.8372
12,14,5514.0004
13,14,7463.3369
14,14,11584.9046
15,14,12333.3331
16,14,13514.1712
17,14,14373.8919
18,14,16415.9515
19,14,16703.9307
20,14,18783.273
21,14,18682.8324
22,14,19501.3667
23,14,19810.8675
24,14,21268.8346
25,14,21438
26,14,23112
27,14,22909
28,14,25040
29,14,24949
30,14,26249
9,15,-2781
10,15,-2156
11,15,143
12,15,807.0001
13,15,2052.3222
14,15,2749.023
15,15,5594.7454
16,15,7296.5531
17,15,8644.81
18,15,9548.6323
19,15,11323.3446
20,15,12155.0962
21,15,13148.5357
22,15,13848.8581
23,15,15339.0237
24,15,15893.3076
25,15,17748.5122
26,15,17935.6145
27,15,19397
28,15,19088
29,15,20509
30,15,20639
31,15,21539
10,16,-201
11,16,771
12,16,2556.7359
13,16,3235.538
14,16,4395.3764
15,16,6130.6466
16,16,8863.9638
17,16,9569.953
18,16,10883.3101
19,16,11586.4793
20,16,13095.3028
21,16,13934.3523
22,16,15154.1746
23,16,15830.078
24,16,17352.1851
25,16,18158.3617
26,16,19946.9513
27,16,20576.2738
28,16,21534
29,16,21739
30,16,22609
31,16,22929
32,16,23709
11,17,-3490
12,17,-2660
13,17,-479.9999
14,17,264.2691
15,17,1581.1455
16,17,2276.774
17,17,5143.1985
18,17,6370.8132
19,17,7964.7692
20,17,8386.3819
21,17,10190.6611
22,17,10227.9731
23,17,11684.1178
24,17,11758.313
25,17,13112.1609
26,17,13810.7339
27,17,15572.484
28,17,16347.2794
29,17,17684
30,17,17509
31,17,18770
32,17,18939
33,17,19980
11,18,-2410
12,18,-760
13,18,638
14,18,2454.7709
15,18,3338.5601
16,18,4663.9237
17,18,5896.174
18,18,8506.9817
19,18,8714.6419
20,18,10242.2461
21,18,10733.0505
22,18,12528.6531
23,18,12798.6622
24,18,14404.4575
25,18,14467.012
26,18,15802.7209
27,18,16580.7989
28,18,18797.6815
29,18,18921.2963
30,18,20063
31,18,20069
32,18,21259
33,18,21478
34,18,22959
35,18,22858
12,19,-4900
13,19,-3375
14,19,-2452
15,19,-875
16,19,83.5716
17,19,1658.8639
18,19,1857.6301
19,19,5142.0519
20,19,6381.3397
21,19,7582.2725
22,19,7808.6199
23,19,9243.4922
24,19,9441.6874
25,19,11060.6581
26,19,11231.3543
27,19,12932.0993
28,19,13229.6979
29,19,14206.1791
30,19,14545.5398
31,19,15957
32,19,16574
33,19,17937
34,19,18205
35,19,19230
36,19,19379
13,20,-1751
14,20,-61
15,20,878
16,20,2567.2439
17,20,3007.8594
18,20,4547.2731
19,20,5770.918
20,20,8328.1776
21,20,8891.3824
22,20,10276.7156
23,20,10675.813
24,20,12182.3064
25,20,12319.7036
26,20,13812.9373
27,20,14219.7071
28,20,15801.8571
29,20,16304.4917
30,20,17266.7054
31,20,17893.428
32,20,19039.7859
33,20,19539.05
34,20,20153.8361
35,20,20789
36,20,21270
37,20,21829
38,20,22949
39,20,23409
40,20,25039
14,21,-4921
15,21,-3671
16,21,-2942
17,21,-1598
18,21,-596.8061
19,21,529.6171
20,21,1084.9291
21,21,4272.0659
22,21,4929.8277
23,21,6696.1334
24,21,6892.5626
25,21,8238.384
26,21,8486.2038
27,21,9448.3888
28,21,9626.5504
29,21,10526.0889
30,21,10950.0938
31,21,11480.2219
32,21,11792.2541
33,21,12339.1971
34,21,12970.4917
35,21,14154.4446
36,21,15158.2332
37,21,16209
38,21,16588
39,21,17649
40,21,17789
41,21,18989
15,22,-1731
16,22,-301
17,22,539
18,22,2109.6836
19,22,2463.1571
20,22,3750.9644
21,22,4483.559
22,22,8649.4073
23,22,8483.2023
24,22,10344.919
25,22,10464.9397
26,22,11445.0803
27,22,11348.9001
28,22,12158.3913
29,22,12484.8157
30,22,13516.3159
31,22,13646.8437
32,22,14263.2289
33,22,14683.5062
34,22,15869.8586
35,22,16174.971
36,22,16826.9869
37,22,17689
38,22,18559.1182
39,22,19109
40,22,19989
41,22,20459
42,22,21839
16,23,-3911
17,23,-2681
18,23,-2015
19,23,-789
20,23,100.9753
21,23,1781.4593
22,23,1626.8264
23,23,5354.6018
24,23,5167.7715
25,23,6829.3642
26,23,6758.1761
27,23,7948.1988
28,23,8060.209
29,23,8999.0377
30,23,9662.9484
31,23,10305.8052
32,23,10670.2947
33,23,11639.9029
34,23,12301.0388
35,23,13317.7063
36,23,13981.9196
37,23,14497
38,23,15366.3948
39,23,16132
40,23,16829
41,23,17749
42,23,17919
43,23,18799
17,24,-651
18,24,539
19,24,1639
20,24,2794.512
21,24,2995.6935
22,24,4874.1001
23,24,4776.1669
24,24,8103.2146
25,24,8143.3181
26,24,9588.1783
27,24,9516.4456
28,24,10505.3737
29,24,11133.5569
30,24,12372.6752
31,24,12501.0275
32,24,13448.9626
33,24,13630.5551
34,24,14845.7155
35,24,14974.3182
36,24,16586.8543
37,24,16698.0714
38,24,17964.4611
39,24,18254.107
40,24,19188.8082
41,24,19279
42,24,20319
43,24,20259
44,24,21235
18,25,-3021
19,25,-2141
20,25,-1153
21,25,191.9175
22,25,383.7767
23,25,2022.5222
24,25,2087.5834
25,25,4583.5055
26,25,5270.8323
27,25,6549.6431
28,25,6559.8128
29,25,7559.6001
30,25,8066.134
31,25,9090.3133
32,25,9490.1227
33,25,10591.5547
34,25,10822.4919
35,25,12140.9862
36,25,12122.6005
37,25,13316.4337
38,25,13323.4203
39,25,14099.7119
40,25,14616.3372
41,25,15729
42,25,15729
43,25,16939
44,25,16959
45,25,18109
46,25,18268
19,26,341
20,26,1099
21,26,2001
