n,z,neutronSeparationEnergy(keV)
1,0,0
1,1,2224.5662
2,1,6257.2301
3,1,-1600
4,1,-200
5,1,-911.9594
6,1,812
2,2,20577.6211
3,2,-735
4,2,1710.4569
5,2,-409.7143
6,2,2534.7627
7,2,-1254.8254
8,2,-190.0023
1,3,11415
2,3,21715.6211
3,3,5663.3245
4,3,7251.0939
5,3,2032.6182
6,3,4062.2175
7,3,-26.4045
8,3,395.6871
9,3,-210
10,3,100
2,4,26835
3,4,10677.3542
4,4,18898.644
5,4,1664.5388
6,4,6812.2824
7,4,501.6358
8,4,3170.7254
9,4,-510
10,4,1775.8951
11,4,-1800
12,4,450
2,5,27715
3,5,12826.3018
4,5,18576.4012
5,5,8437.1932
6,5,11454.2206
7,5,3369.6283
8,5,4878.7679
9,5,969.5802
10,5,2777.6245
11,5,-83.0012
12,5,1466.6951
13,5,-5
14,5,93.7073
15,5,-1560
16,5,-910
3,6,14224.616
4,6,21283.6164
5,6,13120.594
6,6,18720.7151
7,6,4946.3087
8,6,8176.4341
9,6,1218.0662
10,6,4250.3301
11,6,733.5717
12,6,4183.9319
13,6,576.8292
14,6,2981.5058
15,6,-68
16,6,103
17,6,-2488
4,7,22505.7016
5,7,15098.8939
6,7,20063.9051
7,7,10553.3823
8,7,10833.2968
9,7,2488.849
10,7,5885.1465
11,7,2828.2294
12,7,5328.2305
13,7,2161.0753
14,7,4605.9005
15,7,1538.4289
16,7,3115.6936
17,7,-2146
18,7,-973
4,8,23796.8964
5,8,16969.2213
6,8,23178.9686
7,8,13223.477
8,8,15663.9424
9,8,4143.0801
10,8,8045.3702
11,8,3955.6439
12,8,7608.0042
13,8,3805.456
14,8,6850.3198
15,8,2732.9795
16,8,4192.2843
17,8,-757.3077
18,8,739.3077
19,8,-1937
20,8,661
5,9,18137
6,9,23468.9686
7,9,13962.8884
8,9,16794.7986
9,9,9149.9069
10,9,10431.8757
11,9,6601.3362
12,9,8101.4601
13,9,5230.337
14,9,7579.4305
15,9,3812.0656
16,9,4281.6671
17,9,730.8299
18,9,1612.4952
19,9,-199
20,9,1324.9238
21,9,-739
22,9,189
6,10,24299.9167
7,10,15557.6411
8,10,19254.1527
9,10,11636.8819
10,10,16865.3038
11,10,6761.1623
12,10,10364.2574
13,10,5200.6473
14,10,8868.9154
15,10,4155.1786
16,10,5554.7015
17,10,1501.5217
18,10,3822.4899
19,10,971.2532
20,10,3191.0012
21,10,169.844
22,10,2254
23,10,-1060
24,10,1360
7,11,17752.9059
8,11,20179.9254
9,11,14150.214
10,11,17106.6639
11,11,11067.8522
12,11,12419.7801
13,11,6959.3653
14,11,9011.231
15,11,5574.2849
16,11,6728.3282
17,11,3541.8428
18,11,4403.009
19,11,2276.6421
20,11,4299.9564
21,11,1677.1979
22,11,2931.3567
23,11,171.3166
24,11,1920
25,11,0
26,11,840
27,11,-700
28,11,0
8,12,22432.0181
9,12,14645.1614
10,12,19375.1551
11,12,13145.0063
12,12,16531.2216
13,12,7330.5219
14,12,11093.0797
15,12,6443.3687
16,12,8504.6694
17,12,3663.7325
18,12,6340.3306
19,12,2312.0974
20,12,5778.0669
21,12,2279.5444
22,12,4710.8668
23,12,754.8562
24,12,3330.9446
25,12,240
26,12,2209
27,12,-630
28,12,1297
29,12,-479
9,13,16960
10,13,19525
11,13,14868.2013
12,13,16938.4799
13,13,11365.4835
14,13,13058.0422
15,13,7725.174
16,13,9428.3609
17,13,5727.6723
18,13,7157.9103
19,13,4219.9777
20,13,5469.3317
21,13,2571.5547
22,13,5297.429
23,13,1897.2041
24,13,4212.138
25,13,1411
26,13,3051
27,13,740
28,13,2302
29,13,672
30,13,1791
9,14,17762
10,14,21276
11,14,14989.182
12,14,19039.643
13,14,13314.82
14,14,17179.6099
15,14,8473.6025
16,14,10609.1989
17,14,6587.393
18,14,9199.9699
19,14,4507.957
20,14,7548.674
21,14,2471.1141
22,14,6115.9633
23,14,2206.7049
24,14,5670.1051
25,14,1580.6672
26,14,4724.7939
27,14,538
28,14,4432
29,14,581
30,14,3091
31,14,291
10,15,21901
11,15,17288
12,15,19703
13,15,14560.1422
14,15,17876.3107
15,15,11319.3249
16,15,12311.0066
17,15,7935.65
18,15,10103.7921
19,15,6282.6692
20,15,8380.4257
21,15,3464.5535
22,15,6816.2857
23,15,3696.8704
24,15,6224.3889
25,15,3435.8718
26,15,4911.8962
27,15,1999.7084
28,15,4123
29,15,2002
30,15,3221
31,15,1191
32,15,2101
11,16,18261
12,16,21489
13,16,15238.9444
14,16,19036.1491
15,16,13054.5951
16,16,15044.3237
17,16,8641.6392
18,16,11417.1492
19,16,6985.8384
20,16,9889.2491
21,16,4303.6031
22,16,8036.1081
23,16,4372.7738
24,16,7746.496
25,16,4242.0484
26,16,6700.4858
27,16,2629.0309
28,16,5080.0937
29,16,2207
30,16,4091
31,16,1511
32,16,2882
33,16,70
12,17,22319
13,17,17419
14,17,19780.4181
15,17,14371.4714
16,17,15739.9523
17,17,11508.0637
18,17,12644.7639
19,17,8579.7945
20,17,10310.8617
21,17,6107.8823
22,17,8073.4201
23,17,5828.9185
24,17,7820.6912
25,17,5595.8963
26,17,7399.0588
27,17,4390.781
28,17,5854.8891
29,17,3543.7223
30,17,3917
31,17,2771
32,17,3051
33,17,1111
34,17,1481
35,17,2
12,18,23969
13,18,18817
14,18,21597
15,18,15255.2606
16,18,17065.3159
17,18,12740.314
18,18,15255.5716
19,18,8787.4546
20,18,11838.466
21,18,6598.6867
22,18,9869.0227
23,18,6098.9277
24,18,9426.4865
25,18,5658.4507
26,18,8734.7676
27,18,5168.859
28,18,8071.7717
29,18,3667.3371
30,18,5058.9711
31,18,2777
32,18,4241
33,18,1331
34,18,2961
35,18,-99
36,18,2302
13,19,20342
14,19,22521
15,19,16832
16,19,18024
17,19,14315.6064
18,19,15454.3377
19,19,12071.8765
20,19,13077.7537
21,19,7799.6195
22,19,10095.37
23,19,7533.8
24,19,9624.6817
25,19,7277.4215
26,19,8905.4638
27,19,6869.6041
28,19,8369.3703
29,19,4643.8184
30,19,5398.3318
31,19,4187.675
32,19,4858.9221
33,19,2693.4898
34,19,3229.4117
35,19,926
36,19,2451
37,19,562
38,19,1922
39,19,271
40,19,1252
14,20,24211
15,20,17771
16,20,19713
17,20,14756.2218
18,20,16993.7515
19,20,13295.5213
20,20,15635.0134
21,20,8362.8243
22,20,11480.7032
23,20,7932.8974
24,20,11131.1752
25,20,7414.8186
26,20,10398.6975
27,20,7276.3738
28,20,9951.5203
29,20,5146.4529
30,20,6360.5456
31,20,4814.3976
32,20,6005.28
33,20,3192.7539
34,20,3844.1978
35,20,1561.1058
36,20,2931.3336
37,20,1121
38,20,3042
39,20,731
40,20,2881
41,20,61
15,21,19021
16,21,20442
17,21,16101
18,21,17995
19,21,14421.9445
20,21,16190.3254
21,21,11549.961
22,21,12138.465
23,21,9699.2031
24,21,11327.6044
25,21,8760.64
26,21,10646.5173
27,21,8238.5588
28,21,10129.6819
29,21,6045.9914
30,21,6784.5505
31,21,5344.5257
32,21,6317.3122
33,21,3739.697
34,21,4475.4924
35,21,2745.0587
36,21,3935.1223
37,21,2171.2344
38,21,3421.2995
39,21,1792
40,21,3021
41,21,1261
42,21,2312
16,22,21871
17,22,16941
18,22,19565
19,22,14775.418
20,22,17478.1327
21,22,12282.5556
22,22,16304.3134
23,22,9532.9981
24,22,13189.3211
25,22,8880.6607
26,22,11626.6579
27,22,8142.3786
28,22,10939.1732
29,22,6372.4157
30,22,7816.0507
31,22,5475.0535
32,22,6933.6974
33,22,4159.9743
34,22,5661.8448
35,22,3050.171
36,22,4587.1382
37,22,3033
38,22,4291
39,22,2342
40,22,3901
41,22,1732
42,22,3691
43,22,1381
17,23,18172
18,23,20231
19,23,16001
20,23,18368
21,23,13963.0395
22,23,16149.6805
23,23,13260.7735
24,23,13002.4908
25,23,10542.2534
26,23,11555.4698
27,23,9332.4013
28,23,11051.1834
29,23,7311.2445
30,23,8479.9613
31,23,6117.9103
32,23,7298.1868
33,23,5129.5826
34,23,6322.9807
35,23,4066.8385
36,23,5251.3515
37,23,3548.1026
38,23,5161.0378
39,23,3107.3603
40,23,4598.2954
41,23,2651
42,23,3862
43,23,2261
44,23,3515
18,24,21421
19,24,17101
20,24,19523
21,24,14164.221
22,24,18028.0871
23,24,13162.8404
24,24,16329.5384
25,24,10582.3569
26,24,13000.3301
27,24,9260.6686
28,24,12040.1115
29,24,7939.4277
30,24,9719.0796
31,24,6246.2627
32,24,8246.1219
33,24,5311.1752
34,24,7538.141
35,24,4195.4413
36,24,6863.8875
37,24,3659.3198
38,24,6427.4274
39,24,3397.0061
40,24,5532.9966
41,24,2741
42,24,4901
43,24,2201
44,24,4492
45,24,2011
46,24,4082
19,25,17981
20,25,20511
21,25,15509
22,25,18219.9463
23,25,14801.5859
24,25,16394.5996
25,25,13078.279
26,25,13687.6569
27,25,10539.4793
28,25,12050.2812
29,25,8939.2149
30,25,10225.6135
31,25,7270.442
32,25,8645.9314
33,25,6412.6071
34,25,7769.0782
35,25,5513.9355
36,25,6845.5018
37,25,4853.153
38,25,6434.4141
39,25,4173.2977
40,25,6049.6219
41,25,3854.3662
42,25,4901
43,25,3411
44,25,4511
45,25,3161
46,25,4241
47,25,2621
48,25,3602
20,26,21269
21,26,16411
22,26,18950
23,26,14813.4724
24,26,17797.048
25,26,13784.0436
26,26,16214.2281
27,26,10686.706
28,26,13378.4501
29,26,9298.1243
30,26,11197.0596
31,26,7646.1716
32,26,10044.5723
33,26,6581.0046
34,26,8819.5347
35,26,5578.6466
36,26,8028.8719
37,26,4828.8906
38,26,7405.2409
39,26,4319.6679
40,26,6921.2629
41,26,3711.8871
42,26,6260
43,26,3374
44,26,5762
45,26,3111
46,26,5391
47,26,2811
48,26,4741
49,26,2112
50,26,3962
21,27,16961
22,27,19581
23,27,15881
24,27,17824.0613
25,27,15073.1503
26,27,16386.7154
27,27,13422.0097
28,27,14091.2467
29,27,10081.8396
30,27,11376.4582
31,27,8572.9526
32,27,10453.8636
33,27,7491.9176
34,27,9319.0592
35,27,6597.5388
36,27,8498.4717
37,27,6012.2068
38,27,7464.0817
39,27,5294.6538
40,27,6984.5604
41,27,4392.1252
42,27,6814.175
43,27,4210.8339
44,27,5916.285
45,27,4002
46,27,5741
47,27,3642
48,27,5091
49,27,3171
50,27,4321
51,27,1482
21,28,17720
22,28,20061
23,28,16262
24,28,18981
25,28,15142.2898
26,28,17718.8025
27,28,14128.9675
28,28,16643.0057
29,28,10247.63
30,28,12216.2285
31,28,8999.2797
32,28,11387.7284
33,28,7820.1037
34,28,10595.7288
35,28,6837.7698
36,28,9657.4604
37,28,6098.0807
38,28,8951.8149
39,28,5807.7129
40,28,7792.4523
41,28,4586.1516
42,28,7306.5305
43,28,4263.6853
44,28,6891.1508
45,28,3953.409
46,28,6664
47,28,3611
48,28,6021
49,28,3231
50,28,5601
51,28,1352
52,28,3151
53,28,921
54,28,2701
24,29,19331
25,29,16172
26,29,18467
27,29,15065.6479
28,29,16750.5997
29,29,12430.1547
30,29,12761.9215
31,29,10058.126
32,29,11710.1184
33,29,8874.7986
34,29,10863.6431
35,29,7915.868
36,29,9910.5771
37,29,7065.9299
38,29,9132.5825
39,29,6318.8075
40,29,8240.4961
41,29,5311.4777
42,29,7806.0719
43,29,5143.1899
44,29,7275.7566
45,29,5090.0858
46,29,6535.3248
47,29,4582.7262
48,29,5952.5186
49,29,3997.9642
50,29,5689.8828
51,29,2343
52,29,3302
53,29,1891
54,29,2732
55,29,1401
25,30,16639
26,30,19191
27,30,15232
28,30,17820
29,30,12988.1251
30,30,15030.1098
31,30,10245.7541
32,30,12890.5004
33,30,9116.6587
34,30,11861.9068
35,30,7979.3248
36,30,11058.5222
37,30,7052.4655
38,30,10198.0963
39,30,6482.07
40,30,9218.1598
41,30,5835.3561
42,30,8888.0266
43,30,5519.2341
44,30,8234.6277
45,30,4873.5139
46,30,7815.4258
47,30,4557.4972
48,30,6765.3572
49,30,4020.3778
50,30,6287.6355
51,30,2622.3681
52,30,4185.6091
53,30,2047
54,30,3611
55,30,1341
56,30,3033
26,31,19641
27,31,16201
28,31,18292
29,31,13902
30,31,15616
31,31,12923.6776
32,31,12631.3959
33,31,10357.045
34,31,11895.9779
35,31,9137.5602
36,31,11226.7454
37,31,8278.2165
38,31,10313.0833
39,31,7653.6486
40,31,9300.2946
41,31,6520.4752
42,31,9182.3777
43,31,6421.6005
44,31,8482.3312
45,31,5907.3269
46,31,7767.0225
47,31,5783.0509
48,31,6915.5881
49,31,4746.6373
50,31,6475.6051
51,31,3374.0819
52,31,4397.7212
53,31,2908.3258
54,31,3721.2406
55,31,2087
56,31,3181
57,31,1592
27,32,16862
28,32,19232
29,32,14331
30,32,16421
31,32,12853
32,32,15465.6
33,32,10234.0385
34,32,13200.1354
35,32,9137.9954
36,32,12376.3989
37,32,8193.1934
38,32,11532.6802
39,32,7415.9386
40,32,10750.5714
41,32,6782.9403
42,32,10196.2366
43,32,6505.84
44,32,9427.2434
45,32,6071.29
46,32,8720.5063
47,32,5736.4394
48,32,8079.4528
49,32,4827.6989
50,32,7194.6981
51,32,3632.6851
52,32,5243.3111
53,32,3046.3096
54,32,4347.8181
55,32,2262
56,32,4001
57,32,1592
58,32,3501
28,33,19631
29,33,15291
30,33,17152
31,33,14103
32,33,15476
33,33,13159.3454
34,33,12633.4666
35,33,10378.6133
36,33,12288.9721
37,33,9293.1099
38,33,11630.6016
39,33,8407.8695
40,33,10794.2664
41,33,7978.6253
42,33,10245.4572
43,33,7328.4988
44,33,9696.2686
45,33,6971.9534
46,33,8890.4294
47,33,6649.8383
48,33,8390.0309
49,33,5643.4314
50,33,7635.2221
51,33,4255.5547
52,33,5406.902
53,33,3844.3157
54,33,4727.082
55,33,2903
56,33,4152
57,33,2532
58,33,3581
59,33,1951
30,34,18081
31,34,14231
32,34,16712
33,34,12991
34,34,15680.4728
35,34,10316.5835
36,34,13566.5034
37,34,9287.9332
38,34,12792.9921
39,34,8430.5254
40,34,12057.1324
41,34,8027.5966
42,34,11153.7883
43,34,7418.8557
44,34,10497.7727
45,34,6962.8323
46,34,9913.3395
47,34,6700.8499
48,34,9276.1941
49,34,5817.9662
50,34,8678.5055
51,34,4537.2325
52,34,6160.8484
53,34,3994.2756
54,34,5529.3885
55,34,3179.5133
56,34,4879.1424
57,34,2851.2251
58,34,4215
59,34,2208
60,34,4015
61,34,1728
31,35,15151
32,35,17031
33,35,14333
34,35,15539
35,35,13237.4672
36,35,13148.1176
37,35,10630.642
38,35,12655.3542
39,35,9713.6928
40,35,11890.1764
41,35,9253.3767
42,35,11017.0575
43,35,8288.6683
44,35,10687.2175
45,35,7892.2756
46,35,10159.3438
47,35,7592.9439
48,35,9586.3626
